day,name,rugged,rolling,opens,location,details
1,The Barn café,18 km,18 km,,Croy,
1,Pure bakery (vegan cakes),18 km,18 km,,Croy,Takeaway window
1,Small Spar shop,63 km,63 km,,Carrbridge,
1,Carrbridge Kitchen,63 km,63 km,,Carrbridge,
1,Osprey coffee house,71 km,71 km,,Boat of Garten,
1,Post office / small shop,71 km,71 km,,Boat of Garten,
2,Pine Marten Bar,4 km,4 km,Opens 9am,Glenmore,
2,The Barn café,13 km,13 km,,Inverdruie / Rothiemurchus,
2,Various cafés + Tesco,,,Off-route,Aviemore,Small detour off route
2,Strathdearn hub,42 km,42 km,,Tomatin,1 km detour off route
3,Dores Inn,24 km,24 km,,Dores,
3,Ness coffee,24 km,24 km,,Dores,Small takeaway coffee shack
3,Various places in Inverness,40 km,40 km,,Inverness,End of route
